iter	Passed	Remaining
0	4	4672
1	9	4639
2	12	4259
3	15	3942
4	19	3809
5	22	3761
6	26	3758
7	30	3757
8	33	3700
9	36	3644
10	45	4076
11	53	4432
12	59	4482
13	62	4394
14	68	4493
15	75	4648
16	82	4773
17	88	4841
18	95	4938
19	103	5066
20	107	5034
21	112	4990
22	115	4915
23	122	4991
24	128	5030
25	135	5072
26	143	5180
27	151	5266
28	156	5224
29	163	5291
30	169	5304
31	176	5343
32	183	5372
33	186	5299
34	191	5290
35	195	5240
36	199	5181
37	202	5128
38	206	5080
39	212	5088
40	218	5101
41	222	5070
42	226	5050
43	234	5084
44	240	5098
45	247	5141
46	252	5125
47	256	5084
48	259	5040
49	263	5007
50	268	5003
51	272	4965
52	275	4931
53	280	4910
54	283	4866
55	290	4890
56	293	4856
57	299	4866
58	303	4838
59	310	4866
60	317	4890
61	324	4902
62	328	4893
63	332	4859
64	338	4869
65	346	4904
66	352	4915
67	356	4883
68	359	4853
69	367	4876
70	374	4899
71	381	4921
72	386	4902
73	389	4875
74	393	4848
75	397	4833
76	403	4832
77	408	4826
78	411	4799
79	415	4772
80	419	4762
81	424	4747
82	427	4722
83	432	4712
84	438	4717
85	444	4719
86	447	4695
87	453	4699
88	460	4718
89	467	4725
90	471	4708
91	476	4702
92	481	4694
93	489	4714
94	496	4727
95	500	4711
96	504	4694
97	507	4671
98	510	4648
99	515	4640
100	521	4642
101	526	4639
102	531	4632
103	535	4610
104	542	4623
105	548	4627
106	552	4607
107	556	4595
108	562	4596
109	566	4584
110	569	4564
111	576	4567
112	582	4573
113	589	4582
114	594	4578
115	600	4579
116	608	4592
117	613	4582
118	615	4558
119	622	4565
120	627	4558
121	634	4562
122	638	4555
123	646	4568
124	652	4564
125	655	4544
126	658	4526
127	661	4506
128	664	4486
129	667	4466
130	671	4451
131	674	4433
132	676	4410
133	682	4409
134	687	4404
135	692	4400
136	698	4401
137	702	4390
138	705	4371
139	709	4357
140	717	4368
141	720	4351
142	723	4337
143	729	4335
144	736	4343
145	745	4359
146	750	4353
147	754	4344
148	759	4339
149	762	4321
150	765	4303
151	768	4288
152	773	4282
153	779	4282
154	788	4296
155	793	4292
156	797	4282
157	802	4274
158	808	4278
159	816	4285
160	820	4274
161	824	4264
162	827	4250
163	831	4240
164	834	4223
165	842	4231
166	848	4233
167	852	4219
168	854	4203
169	858	4189
170	863	4185
171	869	4183
172	872	4169
173	876	4163
174	881	4155
175	886	4150
176	895	4162
177	902	4169
178	908	4164
179	911	4151
180	914	4137
181	918	4127
182	921	4115
183	927	4113
184	934	4116
185	942	4122
186	949	4127
187	953	4119
188	957	4107
189	961	4098
190	965	4089
191	969	4078
192	974	4072
193	978	4064
194	983	4060
195	988	4053
196	993	4051
197	998	4046
198	1003	4037
199	1008	4032
200	1011	4019
201	1014	4007
202	1021	4010
203	1026	4006
204	1031	4001
205	1041	4013
206	1047	4011
207	1055	4020
208	1062	4022
209	1068	4019
210	1081	4042
211	1089	4049
212	1096	4052
213	1102	4048
214	1110	4052
215	1116	4053
216	1125	4062
217	1135	4072
218	1141	4070
219	1148	4071
220	1154	4068
221	1160	4068
222	1167	4069
223	1176	4075
224	1181	4070
225	1187	4066
226	1190	4054
227	1197	4054
228	1202	4047
229	1206	4038
230	1213	4040
231	1221	4043
232	1226	4038
233	1234	4041
234	1237	4030
235	1242	4022
236	1252	4032
237	1265	4051
238	1270	4044
239	1279	4050
240	1286	4051
241	1297	4062
242	1308	4077
243	1315	4077
244	1325	4083
245	1347	4131
246	1354	4128
247	1358	4119
248	1371	4137
249	1384	4152
250	1392	4156
251	1398	4150
252	1408	4157
253	1417	4162
254	1426	4168
255	1436	4173
256	1450	4192
257	1454	4183
258	1462	4184
259	1466	4173
260	1473	4173
261	1480	4169
262	1484	4161
263	1490	4155
264	1494	4145
265	1499	4136
266	1502	4124
267	1508	4120
268	1511	4106
269	1515	4096
270	1521	4091
271	1525	4082
272	1529	4073
273	1536	4070
274	1544	4071
275	1551	4071
276	1555	4060
277	1558	4047
278	1561	4035
279	1564	4023
280	1569	4014
281	1571	4000
282	1574	3988
283	1577	3975
284	1584	3973
285	1587	3962
286	1591	3954
287	1595	3945
288	1599	3935
289	1608	3937
290	1613	3932
291	1616	3920
292	1622	3913
293	1628	3910
